metric,t_statistic,p_value,significant,real_mean,ai_mean
blur_asymmetry,-0.43993320922355267,0.6619600856397811,NO,47.47635173322283,56.23904307299321
edge_artifacts,-30.950899548699077,2.2756820876667007e-33,YES,28581.27634748806,1830921.1989757689
pixel_variance,-5.239303622937661,3.551840635932607e-06,YES,1439.0527725531763,2905.874046017763
color_variance,-0.22509292373331702,0.8228625505237694,NO,391408.91975231556,438674.35043004627
jpeg_quality_estimate,-0.16874532389119334,0.8667060493794788,NO,0.2656774553571428,0.26718868255615236
face_symmetry,-0.37166756360288244,0.7117760634071393,NO,37.93236709183673,39.70181991577149
