id,images,detected,coverage,bbox_frac_mean
manoj_pahwa,44.0,0.0,0.0,
mehmood,37.0,0.0,0.0,
mita_vashisht,41.0,0.0,0.0,
mithun_chakraborty,46.0,1.0,0.021739130434782608,0.12005821004123211
mohnish_bahl,49.0,0.0,0.0,
mukesh_khanna,44.0,0.0,0.0,
mukul_dev,46.0,0.0,0.0,
nagarjuna_akkineni,45.0,0.0,0.0,
nana_patekar,44.0,0.0,0.0,
nandita_das,49.0,0.0,0.0,
nargis,41.0,0.0,0.0,
naseeruddin_shah,50.0,0.0,0.0,
navin_nischol,41.0,0.0,0.0,
nawazuddin_siddiqui,45.0,0.0,0.0,
neeraj_kabi,49.0,0.0,0.0,
nirupa_roy,42.0,0.0,0.0,
om_puri,41.0,0.0,0.0,
pankaj_kapur,45.0,1.0,0.022222222222222223,0.025678650036683785
pankaj_tripathi,46.0,0.0,0.0,
paresh_rawal,44.0,0.0,0.0,
pawan_malhotra,47.0,0.0,0.0,
pooja_bhatt,41.0,0.0,0.0,
prabhas,44.0,0.0,0.0,
prabhu_deva,47.0,0.0,0.0,
prakash_raj,45.0,0.0,0.0,
pran,46.0,0.0,0.0,
prem_chopra,42.0,0.0,0.0,
priyanka_chopra,41.0,0.0,0.0,
raaj_kumar,47.0,0.0,0.0,
radhika_apte,46.0,0.0,0.0,
rahul_bose,48.0,1.0,0.020833333333333332,0.15622389306599832
raj_babbar,46.0,0.0,0.0,
raj_kapoor,45.0,0.0,0.0,
rajat_kapoor,43.0,0.0,0.0,
rajesh_khanna,45.0,0.0,0.0,
rajinikanth,42.0,1.0,0.023809523809523808,0.05764214919144497
rajit_kapoor,38.0,0.0,0.0,
rajkummar_rao,49.0,0.0,0.0,
rajpal_yadav,47.0,0.0,0.0,
rakhee_gulzar,44.0,0.0,0.0,
ramya_krishnan,40.0,0.0,0.0,
ranbir_kapoor,47.0,0.0,0.0,
randeep_hooda,46.0,0.0,0.0,
rani_mukerji,44.0,0.0,0.0,
ranveer_singh,45.0,0.0,0.0,
ranvir_shorey,45.0,0.0,0.0,
ratna_pathak_shah,42.0,0.0,0.0,
rekha,37.0,0.0,0.0,
richa_chadha,47.0,0.0,0.0,
rishi_kapoor,43.0,0.0,0.0,
riteish_deshmukh,48.0,0.0,0.0,
sachin_khedekar,47.0,0.0,0.0,
saeed_jaffrey,41.0,0.0,0.0,
saif_ali_khan,44.0,0.0,0.0,
salman_khan,48.0,0.0,0.0,
sanjay_dutt,47.0,0.0,0.0,
sanjay_mishra,43.0,0.0,0.0,
shabana_azmi,46.0,0.0,0.0,
shah_rukh_khan,41.0,0.0,0.0,
sharman_joshi,44.0,0.0,0.0,
sharmila_tagore,42.0,0.0,0.0,
shashi_kapoor,46.0,0.0,0.0,
shreyas_talpade,43.0,0.0,0.0,
smita_patil,42.0,0.0,0.0,
soumitra_chatterjee,45.0,0.0,0.0,
sridevi,40.0,0.0,0.0,
sunil_shetty,49.0,1.0,0.02040816326530612,0.17014519056261343
sunny_deol,47.0,1.0,0.02127659574468085,0.04838709677419355
tabu,49.0,0.0,0.0,
tinnu_anand,43.0,0.0,0.0,
utpal_dutt,41.0,0.0,0.0,
varun,14.0,1.0,0.07142857142857142,0.033527374267578125
varun_dhawan,45.0,0.0,0.0,
vidya_balan,47.0,0.0,0.0,
vinod_khanna,43.0,0.0,0.0,
waheeda_rehman,48.0,0.0,0.0,
zarina_wahab,46.0,0.0,0.0,
zeenat_aman,40.0,0.0,0.0,
